@relation interact

@attribute interactionword {abolish,acceptor,accompani,accumul,acetyl,act,action,activ,affect,affin,agonist,alter,associ,attach,attack,attenu,augment,bind,block,blockag,carbamoyl,carboxyl,caus,chang,character,cleav,cleavag,co,coactiv,coassoci,coexpress,coimmunoprecipit,coloc,compet,complex,concentr,conjug,conserv,consist,contact,contain,contribut,control,convert,cooper,coprecipit,correl,costimul,counterreceptor,crippl,cross,crosslink,deacetyl,deamin,decarboxyl,decreas,degrad,dehydr,dehydrogen,depend,dephosphoryl,depress,determin,diminish,direct,disrupt,dissoci,distribut,dock,down,downregul,drive,effect,elav,elev,elimin,encod,engag,enhanc,evok,express,facilit,facilitet,follow,form,format,formyl,function,fuse,gener,glycosyl,govern,heterodim,heterodimer,homodim,homodimer,homolog,hydroli,hydrolys,hydrolysi,identifi,immunoprecipit,impact,impair,implic,inact,inactiv,incorpor,increas,induc,induct,influenc,inhibit,inhibitor,initi,interact,involv,isomer,lead,ligand,ligat,limit,link,local,mediat,methyl,mobil,mobilis,modifi,modul,neutral,neutralis,oxid,pair,peroxid,perturb,phosphory,phosphoryl,potenti,prduce,preced,precipit,prevent,produc,promot,rais,react,reactiv,recogn,recruit,reduc,reduct,regul,relat,repress,requir,respond,respons,result,revers,sequest,signal,stabil,stimul,suppress,synerg,synergis,talk,target,termin,tether,tran,transactiv,transamin,transcrib,transform,trigger,ubiquitin,up,upregul,norelword}
@attribute D1 real
@attribute D2 real
@attribute D3 real
@attribute P_posision1 real
@attribute P_position2 real
@attribute K_position real
@attribute order {avb,vab,abv}
@attribute NumberOfInteractors real
@attribute not {true,false}
@attribute prep {with,of,by,multiple,to,between,via,through,in,for,on,within,during,from,without,at,under,among,after,NA}
@attribute H1 real
@attribute H2 real
@attribute H3 real
@attribute overlapP {true,false}
@attribute overlapN {true,false}
@attribute overlap2 {true,false}
@attribute overlap3 {true,false}
@attribute overlapF {true,false}
@attribute overlapR {true,false}
@attribute pattern_PVP {true,false}
@attribute pattern_PVbyP {true,false}
@attribute pattern_VofPbyP {true,false}
@attribute pattern_VofPtoP {true,false}
@attribute pattern_NofPbyP {true,false}
@attribute pattern_NofPwithP {true,false}
@attribute pattern_NbetweenPandP {true,false}
@attribute pattern_combetPandP {true,false}
@attribute pattern_comofPandP {true,false}
@attribute pattern_PformcomwithP {true,false}
@attribute pattern_PPN {true,false}
@attribute pattern_PdependP {true,false}
@attribute pattern_between {true,false}
@attribute pattern_contiguous {true,false}
@attribute pattern_para {true,false}
@attribute Dep_KP1 real
@attribute negative_KP1 real
@attribute positive_KP1 real
@attribute Dep_KP2 real
@attribute negative_KP2 real
@attribute positive_KP2 real
@attribute Dep_P1P2 real
@attribute negative_P1P2 real
@attribute positive_P1P2 real
@attribute Dep_P1Root real
@attribute Dep_P2Root real
@attribute Dep_KRoot real
@attribute interaction {True,False}

@data
encod,17,6,23,25,2,8,avb,6,false,by,8,5,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4,2,2,3,2,1,4,2,2,4,3,2,True
depend,4,3,7,6,13,10,avb,3,false,on,10,5,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,2,1,1,4,3,1,4,3,1,4,2,4,True
control,5,3,2,9,7,4,vab,4,false,of,4,7,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4,3,1,2,1,1,4,3,1,2,4,4,True
transcrib,2,2,4,13,9,11,avb,1,false,by,8,7,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,0,2,1,1,0,3,1,2,4,3,2,True
act,2,9,11,5,16,7,avb,3,false,for,4,9,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,0,3,0,3,4,1,3,3,5,2,True
act,2,11,13,5,18,7,avb,3,false,for,4,9,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,0,3,0,3,4,1,3,3,5,2,True
act,2,13,15,5,20,7,avb,3,false,for,4,9,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,0,3,0,3,4,1,3,3,5,2,True
act,2,15,17,5,22,7,avb,3,false,for,4,9,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,0,3,0,3,4,1,3,3,5,2,True
regul,5,7,2,16,18,11,vab,3,false,for,9,9,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,0,2,2,0,2,1,0,1,5,5,3,False
regul,5,9,4,16,20,11,vab,3,false,for,9,9,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,0,2,2,0,2,1,0,1,5,5,3,False
regul,5,11,6,16,22,11,vab,3,false,for,9,9,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,0,2,2,0,2,1,0,1,5,5,3,False
regul,7,9,2,18,20,11,vab,3,false,for,9,9,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,0,2,2,0,2,2,1,1,5,5,3,False
regul,7,11,4,18,22,11,vab,3,false,for,9,9,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,0,2,2,0,2,2,1,1,5,5,3,False
regul,9,11,2,20,22,11,vab,3,false,for,9,9,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,2,0,2,2,0,2,2,1,1,5,5,3,False
affect,8,1,9,3,12,11,avb,3,false,of,6,7,7,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,2,0,1,0,1,3,2,1,3,2,1,True
affect,8,10,18,3,21,11,avb,3,false,of,6,12,7,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,2,0,4,0,4,6,2,4,3,5,1,False
phosphoryl,4,5,9,12,21,16,avb,3,false,of,7,12,5,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,0,2,3,1,2,3,0,3,2,5,4,True
recogn,2,8,6,16,22,14,vab,2,false,by,10,11,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,1,0,1,3,0,3,4,1,3,4,6,2,False
recogn,2,12,14,16,2,14,avb,2,false,by,10,5,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,0,1,2,2,1,4,2,2,4,3,2,True
recogn,2,7,9,16,7,14,avb,2,false,by,10,5,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,0,1,3,3,1,5,3,2,4,3,2,True
inhibit,8,1,9,16,25,24,avb,2,false,in,10,11,11,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,1,2,2,0,2,5,1,4,4,7,5,False
recogn,8,12,20,22,2,14,avb,2,false,by,11,5,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,0,3,2,2,1,6,2,4,6,3,2,False
recogn,8,7,15,22,7,14,avb,2,false,by,11,5,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,0,3,3,3,1,7,3,4,6,3,2,False
inhibit,2,1,3,22,25,24,avb,2,false,in,11,11,11,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,1,1,0,2,0,2,3,1,2,6,7,5,True
recogn,12,7,5,2,7,14,abv,2,false,by,5,5,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,2,1,3,3,1,4,2,2,3,3,2,False
recogn,12,11,23,2,25,14,avb,2,false,by,5,11,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,2,1,4,0,4,7,2,5,3,7,2,False
recogn,7,11,18,7,25,14,avb,2,false,by,5,11,5,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,3,1,4,0,4,8,3,5,3,7,2,False
encod,17,3,20,33,13,16,avb,3,false,by,6,6,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,1,2,4,3,1,5,3,2,3,4,2,True
depend,6,12,6,19,25,13,vab,3,false,on,6,6,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,0,1,4,1,3,5,2,3,2,5,1,False
depend,6,2,8,19,11,13,avb,3,false,on,6,10,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,0,1,4,3,1,5,3,2,2,5,1,True
depend,6,15,9,19,28,13,vab,3,false,on,6,7,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,0,1,4,1,3,5,2,3,2,5,1,False
depend,12,2,14,25,11,13,avb,3,false,on,6,10,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4,1,3,4,3,1,7,3,4,5,5,1,False
depend,12,15,3,25,28,13,vab,3,false,on,6,7,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4,1,3,4,1,3,2,1,1,5,5,1,True
depend,2,15,17,11,28,13,avb,3,false,on,10,7,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4,3,1,4,1,3,7,3,4,5,5,1,False
block,1,5,6,17,23,18,avb,5,false,of,10,8,5,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,0,2,0,2,3,1,2,3,4,2,True
block,1,8,9,17,26,18,avb,5,false,of,10,9,5,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,1,1,0,2,0,2,3,1,2,3,4,2,False
activ,2,1,3,23,26,25,avb,5,false,of,8,9,5,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,2,1,1,0,1,4,2,2,4,4,3,True
requir,15,6,21,27,6,12,avb,3,false,of,6,8,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5,0,5,2,2,0,7,2,5,6,3,1,True
activ,3,7,10,2,12,5,avb,3,false,by,5,5,5,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,2,2,0,3,0,3,5,2,3,3,4,1,True
activ,3,1,4,2,6,5,avb,3,false,by,5,5,5,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,2,0,1,0,1,3,2,1,3,2,1,True
dephosphoryl,4,2,6,12,6,8,avb,3,false,in,5,5,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,0,2,2,1,1,4,1,3,4,2,2,True
dephosphoryl,4,2,2,5,3,1,vab,2,false,of,6,5,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,0,2,1,0,1,1,0,1,4,3,2,True
control,1,5,4,12,8,13,abv,2,false,of,6,4,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,0,3,2,1,4,2,2,5,5,4,True
increas,3,6,9,11,2,8,avb,3,false,of,8,4,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,1,2,4,2,2,5,2,3,4,3,3,True
encod,9,6,3,3,6,12,abv,2,false,with,4,6,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,1,1,2,1,1,2,1,1,3,3,3,True
encod,9,4,5,3,8,12,abv,2,false,with,4,6,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,1,1,3,2,1,2,1,1,3,3,3,True
encod,9,2,7,3,10,12,abv,2,false,with,4,6,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,1,1,3,2,1,2,1,1,3,3,3,True
encod,6,4,2,6,8,12,abv,2,false,with,6,6,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,1,1,3,2,1,1,0,1,3,3,3,False
encod,6,2,4,6,10,12,abv,2,false,with,6,6,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,1,1,3,2,1,1,0,1,3,3,3,False
encod,4,2,2,8,10,12,abv,2,false,with,6,6,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,3,2,1,3,2,1,2,1,1,3,3,3,False
activ,6,7,13,27,14,21,avb,4,false,through,14,9,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,0,3,4,3,1,7,3,4,9,6,6,True
transcrib,2,9,11,13,2,11,avb,1,false,by,5,6,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,0,2,2,2,0,4,2,2,3,3,1,True
transcrib,2,4,6,13,7,11,avb,1,false,by,5,5,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,0,2,2,2,0,5,3,2,3,4,1,True
transcrib,9,4,5,2,7,11,abv,1,false,by,6,5,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,2,0,2,2,0,4,2,2,3,4,1,False
inhibit,2,6,8,8,16,10,avb,2,false,in,6,7,5,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,2,0,5,0,5,7,2,5,4,7,2,True
initi,4,7,11,5,16,9,avb,4,false,in,5,8,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,2,0,4,2,2,6,4,2,4,6,2,False
result,3,6,3,5,8,2,vab,4,false,of,5,6,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4,1,3,4,1,3,2,1,1,4,4,2,True
initi,4,16,20,5,25,9,avb,4,false,in,5,12,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,2,0,7,2,5,9,4,5,4,9,2,False
initi,7,1,8,16,8,9,avb,4,false,in,8,6,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4,2,2,2,2,0,6,4,2,6,4,2,False
act,1,8,9,16,25,17,avb,4,false,to,8,12,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,0,4,0,4,5,1,4,6,9,4,True
initi,1,16,17,8,25,9,avb,4,false,in,6,12,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,2,0,7,2,5,9,4,5,4,9,2,False
activ,1,5,6,5,11,6,avb,2,false,of,7,8,5,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,2,0,2,0,2,4,2,2,3,3,1,True
activ,1,16,17,5,22,6,avb,2,true,of,7,5,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,2,0,3,0,3,5,2,3,3,4,1,False
activ,1,3,4,5,9,6,avb,2,false,of,7,8,5,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,2,0,2,0,2,4,2,2,3,3,1,True
activ,1,18,19,5,24,6,avb,2,true,of,7,5,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,2,0,3,0,3,5,2,3,3,4,1,False
activ,5,16,11,11,22,6,vab,2,true,of,8,5,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,0,2,3,0,3,5,2,3,3,4,1,False
activ,5,3,2,11,9,6,vab,2,false,of,8,8,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,0,2,2,0,2,4,2,2,3,3,1,True
repress,12,1,13,11,24,23,avb,2,true,NA,8,5,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,2,1,2,0,2,5,2,3,3,4,2,False
activ,16,3,13,22,9,6,vab,2,true,of,5,8,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,0,3,2,0,2,5,2,3,4,3,1,False
